date,f1,f2,f3,f4,f5,f6,f7,f8
1970-08-01,0.364193372,-0.026559014,-0.063339104,0.157865777,0.098022469,-0.194230522,0.082331364,0.0598502
1970-09-01,0.30330383,0.254595537,0.230196307,0.249155784,0.140022726,-0.237868427,0.125883495,-0.083876585
1970-10-01,0.776413622,-0.040707481,0.234563489,0.21954225,0.233796783,-0.405139511,0.088657621,-0.418794724
1970-11-01,0.47661845,-0.017610824,0.044846604,0.354309362,-0.042494603,-0.11393549,0.330935762,0.088912904
1970-12-01,-0.654221321,0.216959094,-0.244714995,0.527240937,-0.221724263,-0.204679736,0.399565071,0.364829596
1971-01-01,-0.139133334,0.031993698,-0.247301408,0.463389317,0.036358209,-0.250325307,0.135471693,-0.00777416
1971-02-01,0.12739021,0.123624521,-0.084726327,0.481655853,0.12582916,-0.125304226,0.014072996,-0.087332128
1971-03-01,0.098726451,-0.04076753,0.037011437,0.318816572,0.155662807,-0.10573509,0.137402321,-0.04510835
1971-04-01,-0.303119566,-0.071148275,0.090138484,0.006055121,0.266667304,-0.26529122,0.081587989,0.024125678
1971-05-01,-0.272213251,-0.160900715,0.197625331,-0.099428329,0.344303916,-0.067690327,0.150432792,0.10232576
1971-06-01,-0.156350341,-0.133329416,0.063682237,-0.052271028,0.286685378,-0.263729028,0.256919854,0.185609785
1971-07-01,-0.052951157,-0.305392199,0.024813285,0.000480237,0.335121269,-0.247542409,0.256325336,-0.247980719
1971-08-01,0.028704647,-0.136540577,0.271855982,0.295458294,0.122472973,-0.005348477,0.134179106,-0.048060278
1971-09-01,-0.373795238,-0.228290073,-0.065124601,0.439086433,-0.097034714,-0.04370269,0.126062731,0.078150357
1971-10-01,-0.228618983,-0.03838444,0.125148716,0.300381833,0.011319322,-0.015271088,0.352262882,0.05647584
1971-11-01,-0.201948988,-0.18747499,0.134549958,0.29881584,0.009629849,0.050789252,0.297438849,-0.191149234
1971-12-01,-0.388793894,0.063017404,0.125753355,0.41382984,0.206251601,-0.114945817,0.077620958,0.246505419
1972-01-01,-0.614338763,-0.13088095,-0.200643415,0.544958829,0.122078219,0.006319447,0.199832607,0.057813186
1972-02-01,-0.352826434,0.012829154,0.058973408,0.268939268,0.315922179,-0.077090442,0.16374169,0.055724276
1972-03-01,-0.423910617,-0.352139239,-0.112880535,0.183078973,0.27921102,-0.175684947,-0.029767125,-0.080966859
1972-04-01,-0.407959748,-0.128438915,0.081141596,0.088092411,0.291918232,-0.071481595,0.129904637,0.044845613
1972-05-01,-0.218221567,-0.142342357,0.187903977,0.26267552,0.192897318,0.055255661,0.039675269,-0.164824915
1972-06-01,-0.236343829,-0.285375696,0.101052639,0.20758728,0.247367008,-0.050827087,-0.000176641,-0.155014261
1972-07-01,-0.005781396,-0.107933053,0.202796228,0.16340804,0.291440352,-0.047919049,0.210650126,0.068048515
1972-08-01,-0.621970993,-0.226511266,0.003651789,0.280252216,0.059467724,-0.095442116,0.019988924,0.12154059
1972-09-01,-0.42200895,-0.103473533,0.262667471,0.035626547,0.345638055,-0.044048661,0.130104318,0.098997049
1972-10-01,-0.541552195,-0.449570339,-0.151389475,0.270307939,0.087864424,-0.048729413,0.10443748,0.071288818
1972-11-01,-0.555822484,0.01284001,0.196902372,0.312716557,0.183727672,-0.057218707,-0.102444394,-0.121473407
1972-12-01,-0.55184005,-0.241197257,0.091861558,0.220868921,0.17925259,-0.048214954,0.005588296,0.084215058
1973-01-01,-0.451508336,-0.294194247,0.25776161,0.113356876,0.257540111,0.039793624,-0.04559999,0.048887561
1973-02-01,-0.685362527,-0.21410435,0.447973162,0.109985361,0.019791848,0.157152978,0.083230941,0.070977617
1973-03-01,-0.342401148,-0.21108746,0.527945535,0.024000732,0.115240722,0.057054789,0.03180374,0.24526627
1973-04-01,0.018024804,-0.533270709,0.193217923,0.095380313,0.034364854,0.116056571,-0.054520978,0.001909378
1973-05-01,-0.234256522,-0.388306457,0.334128194,0.084276637,-0.102146613,0.062738746,0.051216997,0.041715054
1973-06-01,-0.242960916,-0.388004871,0.508643067,-0.041974234,-0.034607144,0.062012202,-0.074755479,0.090262548
1973-07-01,-0.191566188,-0.828869051,0.264943586,-0.242496237,-0.232533202,-0.32405006,-0.210209487,0.338587548
1973-08-01,-0.221596167,0.4457788,1.477458896,-0.381683057,0.084406309,0.187696503,0.074044631,-0.103093329
1973-09-01,-0.063970378,-1.095598464,-0.359925781,0.220550016,-0.782275379,-0.382745741,-0.068725479,0.155021021
1973-10-01,-0.266273455,0.066051793,0.486519095,0.411836341,-0.683921877,0.138384271,-0.086531702,0.027014007
1973-11-01,-0.241201778,-0.287289322,0.595700236,-0.259796345,-0.438492713,0.163988345,0.17798062,-0.180579136
1973-12-01,0.278923215,-0.459165301,0.506628182,-0.110820669,-0.439498298,0.393957457,0.014046514,-0.064742246
1974-01-01,0.148052643,-0.079908242,0.723824666,-0.215111111,-0.300814868,-0.104413549,-0.104393147,-0.296084175
1974-02-01,0.136821076,-0.183462388,0.487008989,0.240144287,-0.462680617,0.1186562,0.107988588,0.053307871
1974-03-01,-0.073857614,-0.260990601,0.379514557,-0.210875075,-0.153362884,-0.266610993,-0.159118874,0.349695887
1974-04-01,0.079838594,-0.63869069,0.317684995,-0.400443395,-0.328246925,-0.194524221,0.060442101,0.119694396
1974-05-01,-0.288218388,-0.04712925,0.731740749,-0.293668498,-0.560369416,0.099030951,0.058176735,0.350617478
1974-06-01,0.18635669,-0.544686822,0.410933271,-0.157786099,-0.787783275,-0.159790834,-0.028591079,0.000531557
1974-07-01,0.113288139,-0.376288542,0.844710339,-0.478831381,-0.847224922,0.234011552,0.201311783,0.001302288
1974-08-01,0.175819707,-0.087792304,0.700405324,-0.58764506,-0.483676031,-0.033584275,0.092778638,0.064253166
1974-09-01,0.527244149,-0.489262434,0.308849038,-0.26396652,-0.759126538,0.375699948,0.434274346,0.004267642
1974-10-01,0.546296916,-0.060811939,0.188010669,0.184924428,-0.701758397,0.035418255,0.08170117,-0.023523493
1974-11-01,1.176773439,-0.00183039,0.441511225,0.056360281,-0.36766189,-0.21479779,-0.085098535,-0.06077832
1974-12-01,1.539679582,-0.178187355,0.288006175,-0.102224267,-0.186776169,-0.15935739,0.373148009,0.010041511
1975-01-01,0.979523655,0.310896158,0.029339082,0.216019372,-0.338122666,-0.511275483,0.106401406,0.02233077
1975-02-01,1.021256325,0.405802753,-0.137691061,0.321290743,-0.253399129,-0.65904931,0.02259423,-0.056193501
1975-03-01,0.747835468,0.244243771,-0.165024332,-0.070984622,0.045886136,-0.317121692,0.187439033,0.197284827
1975-04-01,0.144271167,0.313857066,-0.183994165,-0.403998675,0.127311483,-0.442613532,0.362027916,-0.026207346
1975-05-01,0.096791235,0.275142427,-0.323230633,0.221852336,-0.047815282,-0.26112974,0.105739898,-0.153341801
1975-06-01,-0.018285446,0.429239059,-0.123776107,-0.036673028,-0.040578607,-0.160575086,0.188594695,0.382933577
1975-07-01,-0.476361862,0.24588153,-0.00045365,-0.412723173,0.13252854,-0.228843315,0.221189538,-0.279840036
1975-08-01,-0.303901011,-0.271998565,-0.441883678,-0.331209926,0.0520004,0.063063515,0.202763077,-0.109905425
1975-09-01,-0.25252417,0.203559308,-0.107806173,-0.122198777,0.102019563,0.121163733,0.210713856,0.073588104
1975-10-01,-0.07080786,0.117706115,-0.23874339,0.302670401,0.014010182,0.038347493,-0.082657234,-0.177442649
1975-11-01,-0.005638474,0.222350587,-0.229171723,0.202606354,0.088359952,-0.005462978,0.119646815,0.024325503
1975-12-01,-0.332529753,0.023319373,-0.346376017,-0.021614973,0.072261801,0.047870837,0.185276535,-0.147978936
1976-01-01,-0.46698664,0.208320343,-0.387471527,0.47209066,-0.093963489,-0.052820559,-0.188925792,-0.057808612
1976-02-01,-0.342838105,-0.004416257,-0.318452665,0.178671884,0.146943258,0.038963048,-0.134772847,0.017117088
1976-03-01,-0.128354531,0.050696579,-0.135112037,-0.016198072,0.207072628,0.007326333,-0.000400978,-0.118134862
